timestamp,distance,zone,battery
2026-04-29 03:07:22,11.7,DANGER,82
2026-04-29 03:07:22,12.2,DANGER,82
2026-04-29 03:07:23,6.7,DANGER,82
2026-04-29 03:07:24,147.7,SAFE,82
2026-04-29 03:07:24,96.1,WARNING,82
2026-04-29 03:07:25,13.5,DANGER,82
2026-04-29 03:07:25,12.4,DANGER,82
2026-04-29 03:07:27,16.8,DANGER,81
2026-04-29 03:07:27,11.2,DANGER,81
2026-04-29 03:07:28,7.5,DANGER,81
2026-04-29 03:07:28,9.1,DANGER,81
2026-04-29 03:07:29,96.4,WARNING,81
2026-04-29 03:07:29,99.0,WARNING,81
2026-04-29 03:07:30,100.2,SAFE,81
2026-04-29 03:07:30,96.8,WARNING,81
2026-04-29 03:07:31,21.8,DANGER,81
2026-04-29 03:07:31,9.7,DANGER,81
2026-04-29 03:07:32,8.0,DANGER,81
2026-04-29 03:07:32,9.0,DANGER,81
2026-04-29 03:07:33,90.3,WARNING,81
2026-04-29 03:07:35,14.5,DANGER,81
2026-04-29 03:07:36,14.0,DANGER,81
2026-04-29 03:07:36,17.1,DANGER,81
2026-04-29 03:07:37,18.8,DANGER,81
2026-04-29 03:07:37,25.2,DANGER,81
2026-04-29 03:07:39,184.2,SAFE,81
2026-04-29 03:07:40,28.8,DANGER,81
2026-04-29 03:07:42,124.7,SAFE,81
2026-04-29 03:07:43,97.3,WARNING,81
2026-04-29 03:07:45,20.7,DANGER,81
2026-04-29 03:07:45,23.3,DANGER,81
2026-04-29 03:07:46,23.9,DANGER,81
2026-04-29 03:07:46,25.6,DANGER,81
2026-04-29 03:07:47,126.5,SAFE,81
2026-04-29 03:07:48,24.0,DANGER,81
2026-04-29 03:07:50,131.9,SAFE,81
2026-04-29 03:07:50,18.9,DANGER,81
2026-04-29 03:07:51,128.9,SAFE,81
2026-04-29 03:07:52,129.7,SAFE,81
2026-04-29 03:07:52,127.6,SAFE,81
2026-04-29 03:07:54,127.2,SAFE,81
2026-04-29 03:07:55,126.3,SAFE,81
2026-04-29 03:07:55,64.2,WARNING,81
2026-04-29 03:07:58,127.2,SAFE,80
2026-04-29 03:07:59,63.3,WARNING,80
2026-04-29 03:07:59,63.8,WARNING,80
2026-04-29 03:08:00,64.2,WARNING,80
2026-04-29 03:08:00,63.3,WARNING,80
2026-04-29 03:08:02,65.0,WARNING,80
2026-04-29 03:08:02,62.9,WARNING,80
2026-04-29 03:08:02,63.3,WARNING,80
2026-04-29 03:08:02,63.7,WARNING,80
2026-04-29 03:08:03,62.9,WARNING,80
2026-04-29 03:08:03,63.3,WARNING,80
2026-04-29 03:08:04,62.9,WARNING,80
2026-04-29 03:08:04,62.9,WARNING,80
2026-04-29 03:08:05,62.9,WARNING,80
2026-04-29 03:08:05,62.9,WARNING,80
2026-04-29 03:08:06,62.9,WARNING,80
2026-04-29 03:08:06,64.2,WARNING,80
2026-04-29 03:08:07,63.8,WARNING,80
2026-04-29 03:08:07,63.3,WARNING,80
2026-04-29 03:08:08,62.9,WARNING,80
2026-04-29 03:08:08,63.3,WARNING,80
2026-04-29 03:08:09,62.9,WARNING,80
2026-04-29 03:08:09,63.3,WARNING,80
2026-04-29 03:08:10,63.3,WARNING,80
2026-04-29 03:08:10,63.3,WARNING,80
2026-04-29 03:08:11,63.3,WARNING,80
2026-04-29 03:08:11,63.8,WARNING,80
2026-04-29 03:08:12,62.9,WARNING,80
2026-04-29 03:08:12,64.2,WARNING,80
2026-04-29 03:08:13,63.7,WARNING,80
2026-04-29 03:08:13,63.7,WARNING,80
2026-04-29 03:08:14,62.1,WARNING,80
2026-04-29 03:08:14,62.9,WARNING,80
2026-04-29 03:08:15,62.5,WARNING,80
2026-04-29 03:08:15,62.9,WARNING,80
2026-04-29 03:08:16,62.9,WARNING,80
2026-04-29 03:08:16,62.9,WARNING,80
2026-04-29 03:08:17,64.2,WARNING,80
2026-04-29 03:08:17,63.8,WARNING,80
2026-04-29 03:08:18,63.3,WARNING,80
2026-04-29 03:08:18,63.7,WARNING,80
2026-04-29 03:08:19,62.9,WARNING,80
2026-04-29 03:08:19,63.3,WARNING,80
2026-04-29 03:08:20,62.9,WARNING,80
